Information for AB slab calculations:
72. Status of Os2Ir2: Successful
73. Status of Cu2Ir2: Successful
74. Status of Nb2Ag2: Successful
75. Status of Cd2Sn2: Successful
76. Status of Rh2Re2: Successful
77. Status of Zr2Ir2: Successful
78. Status of Ag2Cd2: Successful
79. Status of Mn2Mo2: Successful
80. Status of Tc2Pd2: Successful
81. Status of Cr2Cd2: Successful
82. Status of Sn2Hg2: Successful
83. Status of Pd2Y2: Successful
84. Status of Co2Zr2: Successful
85. Status of Cu2Nb2: Successful
86. Status of Al2Hg2: Successful
87. Status of Mn2Nb2: Successful
88. Status of Ag2Hg2: Successful
89. Status of Al2La2: Successful
90. Status of Ru2Os2: Successful
91. Status of Ni2Hg2: Successful
92. Status of Rh2Ir2: Successful
93. Status of Nb2Hf2: Successful
94. Status of Al2Ni2: Successful
95. Status of Rh2Ta2: Successful
96. Status of Cu2W2: Successful
97. Status of V2Tc2: Successful
98. Status of Cr2Pt2: Successful
99. Status of Al2V2: Successful
100. Status of Pd2Ag2: Successful
101. Status of Ag2W2: Successful
102. Status of Cd2In2: Successful
103. Status of Sc2Zr2: Successful
104. Status of V2Hf2: Successful
105. Status of Pd2W2: Successful
106. Status of Al2Rh2: Successful
107. Status of Fe2Pt2: Successful
108. Status of Cd2Pb2: Successful
109. Status of Ti2Ir2: Successful
110. Status of Zr2W2: Successful
111. Status of Cd2Au2: Successful
112. Status of Ru2Hf2: Successful
113. Status of Nb2Cd2: Successful
114. Status of Sn2Ta2: Successful
115. Status of Os2Hg2: Successful
116. Status of Cd2Ta2: Successful
117. Status of Ti2Pt2: Successful
118. Status of V2Ag2: Successful
119. Status of Zr2Y2: Successful
120. Status of Ga2Re2: Successful
121. Status of Fe2Tl2: Successful
122. Status of Mo2Ta2: Successful
123. Status of Ag2Ta2: Successful
124. Status of Zr2Ru2: Successful
125. Status of Fe2Au2: Successful
126. Status of Zr2Ta2: Successful
127. Status of In2Os2: Successful
128. Status of Pt2Hg2: Successful
129. Status of Ga2Ta2: Successful
130. Status of Co2Ni2: Successful
131. Status of Cr2Hf2: Successful
132. Status of Mo2Pd2: Successful
133. Status of V2Cr2: Successful
134. Status of Re2Au2: Successful
135. Status of Cu2Re2: Successful
136. Status of Ni2Ga2: Successful
137. Status of Co2Sc2: Successful
138. Status of Tc2W2: Successful
139. Status of Co2Mo2: Successful
140. Status of Rh2Au2: Successful
141. Status of Sn2Pb2: Successful
142. Status of Zn2Zr2: Successful
143. Status of Ga2Hg2: Successful
144. Status of Sc2Mo2: Successful
145. Status of Zn2Pd2: Successful
146. Status of Ni2Au2: Successful
147. Status of La2Ta2: Successful
148. Status of Cr2Nb2: Successful
149. Status of Zr2Re2: Successful
150. Status of Co2Re2: Successful
151. Status of Fe2Pb2: Successful
152. Status of Ta2Re2: Successful
153. Status of Mo2Os2: Successful
154. Status of Cr2Zn2: Successful
155. Status of Cd2Hg2: Successful
156. Status of Mn2Re2: Successful
157. Status of Cu2La2: Successful
158. Status of Mo2Au2: Successful
159. Status of V2Ga2: Successful
160. Status of Re2Ir2: Successful
161. Status of La2Au2: Successful
162. Status of La2Pd2: Successful
163. Status of Cr2Tl2: Successful
164. Status of V2Ni2: Successful
165. Status of Zn2Nb2: Successful
166. Status of La2Hf2: Successful
167. Status of La2W2: Successful
168. Status of Cr2Mo2: Successful
169. Status of Pd2Pt2: Successful
170. Status of Cr2In2: Successful
171. Status of Ti2Rh2: Successful
172. Status of Hf2Ir2: Successful
173. Status of Ru2Au2: Successful
174. Status of Co2Ag2: Successful
175. Status of Ru2Pd2: Successful
176. Status of Cr2Ru2: Successful
177. Status of Al2Os2: Successful
178. Status of Y2Os2: Successful
179. Status of Ru2Ta2: Successful
180. Status of Co2Hg2: Successful
181. Status of Sc2Re2: Successful
182. Status of Ti2Cr2: Successful
183. Status of Hf2Y2: Successful
184. Status of Mn2Ni2: Successful
185. Status of Co2Ti2: Successful
186. Status of Co2Pd2: Successful
187. Status of Cr2Re2: Successful
188. Status of V2Ir2: Successful
189. Status of Mn2Sn2: Successful
190. Status of Ru2Sn2: Successful
191. Status of Fe2Rh2: Successful
192. Status of Ti2Pb2: Successful
193. Status of Re2Pb2: Successful
194. Status of Ga2Os2: Successful
195. Status of Ag2Au2: Successful
196. Status of Mo2In2: Successful
197. Status of Cu2Ta2: Successful
198. Status of Al2Au2: Successful
199. Status of Tc2Pb2: Successful
200. Status of V2Rh2: Successful
201. Status of Mo2Y2: Successful
202. Status of Cd2Hf2: Successful
203. Status of Tc2Ta2: Successful
204. Status of V2Fe2: Successful
205. Status of Mn2Ir2: Successful
206. Status of Sc2Ag2: Successful
207. Status of Ta2Pt2: Successful
208. Status of Sc2Mn2: Successful
209. Status of Os2Pt2: Successful
210. Status of V2Re2: Successful
211. Status of Sc2V2: Successful
212. Status of La2In2: Successful
213. Status of Nb2Mo2: Successful
214. Status of Sn2Y2: Successful
215. Status of Sc2Hf2: Successful
216. Status of Sc2Au2: Successful
217. Status of Sc2Fe2: Successful
218. Status of Hf2Pt2: Successful
219. Status of Cr2Ni2: Successful
220. Status of Ti2Os2: Successful
221. Status of Ti2V2: Successful
222. Status of Sc2Y2: Successful
223. Status of Ga2Au2: Successful
224. Status of Cu2Rh2: Successful
225. Status of Al2Tl2: Successful
226. Status of Cd2Pt2: Successful
227. Status of V2W2: Successful
228. Status of Mo2Ag2: Successful
229. Status of Ta2Pb2: Successful
230. Status of Mo2Re2: Successful
231. Status of V2Nb2: Successful
232. Status of La2Tc2: Successful
233. Status of Ni2W2: Successful
234. Status of Y2Au2: Successful
235. Status of Cr2Cu2: Successful
236. Status of Zn2Pt2: Successful
237. Status of Tc2Cd2: Successful
238. Status of Ga2In2: Successful
239. Status of Ag2Hf2: Successful
240. Status of Zr2Hg2: Successful
241. Status of Al2Mo2: Successful
242. Status of Mn2Cd2: Successful
243. Status of Cr2Ta2: Successful
244. Status of Sn2Os2: Successful
245. Status of La2Y2: Successful
246. Status of Ga2Ru2: Successful
247. Status of V2Ta2: Successful
248. Status of Cu2Os2: Successful
249. Status of Pd2Au2: Successful
250. Status of Zn2Cd2: Successful
251. Status of La2Zr2: Successful
252. Status of Ni2Tc2: Successful
253. Status of In2Hg2: Successful
254. Status of Ta2Os2: Successful
255. Status of Fe2La2: Successful
256. Status of Ti2Re2: Successful
257. Status of Al2Hf2: Successful
258. Status of Ir2Pt2: Successful
259. Status of Ga2Ir2: Successful
260. Status of Cr2Tc2: Successful
261. Status of Zr2Os2: Successful
262. Status of Ir2Au2: Successful
263. Status of Nb2Sn2: Successful
264. Status of Sc2Ir2: Successful
265. Status of Ni2Sn2: Successful
266. Status of Al2W2: Successful
267. Status of Os2Pb2: Successful
268. Status of Ru2Ag2: Successful
269. Status of Mo2Hf2: Successful
270. Status of V2Au2: Successful
271. Status of Zn2Re2: Successful
272. Status of Zn2La2: Successful
273. Status of Rh2Pt2: Successful
274. Status of Fe2Ru2: Successful
275. Status of La2Pt2: Successful
276. Status of Co2Sn2: Successful
277. Status of Zr2Ag2: Successful
278. Status of In2Ta2: Successful
279. Status of Ru2In2: Successful
280. Status of Cu2Tc2: Successful
281. Status of Nb2Ta2: Successful
282. Status of Sc2Sn2: Successful
283. Status of Al2Re2: Successful
284. Status of W2Os2: Successful
285. Status of Ga2W2: Successful
286. Status of V2Cd2: Successful
287. Status of Fe2Nb2: Successful
288. Status of Co2Tl2: Successful
289. Status of Nb2W2: Successful
290. Status of Y2Ir2: Successful
291. Status of Ga2Ag2: Successful
292. Status of W2Re2: Successful
293. Status of Sc2Ta2: Successful
294. Status of Ni2Pb2: Successful
295. Status of V2Cu2: Successful
296. Status of Al2Zr2: Successful
297. Status of Cu2Cd2: Successful
298. Status of Cu2Hg2: Successful
299. Status of Al2Ir2: Successful
300. Status of Cu2Mo2: Successful
301. Status of Ir2Tl2: Successful
302. Status of Mo2Hg2: Successful
303. Status of In2Pb2: Successful
304. Status of Zr2Rh2: Successful
305. Status of Ni2Cu2: Successful
306. Status of Ti2Cd2: Successful
307. Status of W2Tl2: Successful
308. Status of Cr2Zr2: Successful
309. Status of Ga2La2: Successful
310. Status of Ni2Cd2: Successful
311. Status of Ti2Au2: Successful
312. Status of Nb2Ir2: Successful
313. Status of Ti2Nb2: Successful
314. Status of Rh2Cd2: Successful
315. Status of Al2In2: Successful
316. Status of In2Pt2: Successful
317. Status of Sn2W2: Successful
318. Status of Pt2Au2: Successful
319. Status of Ti2Fe2: Successful
320. Status of Pd2Sn2: Successful
321. Status of Ni2Ir2: Successful
322. Status of Sc2Ga2: Successful
323. Status of Hf2Ta2: Successful
324. Status of Rh2Pd2: Successful
325. Status of Ga2Y2: Successful
326. Status of Rh2Hg2: Successful
327. Status of Zr2Nb2: Successful
328. Status of Cr2Au2: Successful
329. Status of Co2Fe2: Successful
330. Status of Ti2W2: Successful
331. Status of V2Mn2: Successful
332. Status of Cr2W2: Successful
333. Status of V2Pd2: Successful
334. Status of Ni2Ru2: Successful
335. Status of Co2Au2: Successful
336. Status of Fe2Re2: Successful
337. Status of Co2Zn2: Successful
338. Status of In2W2: Successful
339. Status of V2La2: Successful
340. Status of Ag2Pb2: Successful
341. Status of Fe2Ir2: Successful
342. Status of Zr2Sn2: Successful
343. Status of In2Re2: Successful
344. Status of Sc2Pb2: Successful
345. Status of V2Os2: Successful
346. Status of Y2Ta2: Successful
347. Status of Nb2Au2: Successful
348. Status of Fe2Ta2: Successful
349. Status of Ni2Zn2: Successful
350. Status of Rh2Pb2: Successful
351. Status of Cu2Y2: Successful
352. Status of Ag2Tl2: Successful
353. Status of Mo2Pb2: Successful
354. Status of Ag2Sn2: Successful
355. Status of Zn2Ag2: Successful
356. Status of Sc2Pt2: Successful
357. Status of Rh2Ag2: Successful
358. Status of Ga2Nb2: Successful
359. Status of Tc2Pt2: Successful
360. Status of Ni2Ta2: Successful
361. Status of Sc2Tl2: Successful
362. Status of Ga2Mo2: Successful
363. Status of Ti2Mo2: Successful
364. Status of Sn2Au2: Successful
365. Status of Al2Sc2: Successful
366. Status of Tc2Hg2: Successful
367. Status of Mn2Pd2: Successful
368. Status of Al2Mn2: Successful
369. Status of Pd2Os2: Successful
370. Status of Mo2Sn2: Successful
371. Status of Cu2Ru2: Successful
372. Status of Zr2Hf2: Successful
373. Status of Sc2Ti2: Successful
374. Status of Zn2W2: Successful
375. Status of Mn2Au2: Successful
376. Status of Au2Hg2: Successful
377. Status of Ga2Cd2: Successful
378. Status of Cu2Ga2: Successful
379. Status of Pd2Ta2: Successful
380. Status of Ga2Tl2: Successful
381. Status of Ni2Nb2: Successful
382. Status of Ga2Hf2: Successful
383. Status of Rh2Tl2: Successful
384. Status of Ni2Pt2: Successful
385. Status of Ni2Rh2: Successful
386. Status of Al2Nb2: Successful
387. Status of Sn2Tl2: Successful
388. Status of Co2Al2: Successful
389. Status of Ag2Re2: Successful
390. Status of Pd2Hf2: Successful
391. Status of Nb2Ru2: Successful
392. Status of Rh2Hf2: Successful
393. Status of Rh2Os2: Successful
394. Status of Ru2Cd2: Successful
395. Status of Ni2Hf2: Successful
396. Status of Ta2W2: Successful
397. Status of In2Au2: Successful
398. Status of Pt2Tl2: Successful
399. Status of Pt2Pb2: Successful
400. Status of Tc2Sn2: Successful
401. Status of Co2Ir2: Successful
402. Status of Sc2Cd2: Successful
403. Status of W2Ir2: Successful
404. Status of Nb2Pd2: Successful
405. Status of Tc2Ir2: Successful
406. Status of Sc2Hg2: Successful
407. Status of La2Pb2: Successful
408. Status of La2Ag2: Successful
409. Status of Cu2Tl2: Successful
410. Status of Rh2W2: Successful
411. Status of Zn2Ru2: Successful
412. Status of In2Tl2: Successful
413. Status of Ir2Pb2: Successful
414. Status of Ru2Hg2: Successful
415. Status of Ta2Au2: Successful
416. Status of Al2Pt2: Successful
417. Status of Al2Y2: Successful
418. Status of Mo2W2: Successful
419. Status of Tc2Hf2: Successful
420. Status of Cr2Mn2: Successful
421. Status of Ti2Mn2: Successful
422. Status of Co2Y2: Successful
423. Status of Cu2Pb2: Successful
424. Status of Mn2La2: Successful
425. Status of Cr2La2: Successful
426. Status of V2Y2: Successful
427. Status of Fe2Ga2: Successful
428. Status of Ti2Tc2: Successful
429. Status of Sn2Ir2: Successful
430. Status of Ti2Ru2: Successful
431. Status of Al2Ta2: Successful
432. Status of V2Tl2: Successful
433. Status of Zn2Os2: Successful
434. Status of Fe2Hf2: Successful
435. Status of Sc2Tc2: Successful
436. Status of Mo2Ir2: Successful
437. Status of Cu2In2: Successful
438. Status of Zr2Cd2: Successful
439. Status of Mo2Rh2: Successful
440. Status of V2Sn2: Successful
441. Status of Tc2Ag2: Successful
442. Status of Mn2Cu2: Successful
443. Status of Al2Pd2: Successful
444. Status of Ni2Os2: Successful
445. Status of Re2Os2: Successful
446. Status of Ru2Pb2: Successful
447. Status of La2Ir2: Successful
448. Status of Hf2Os2: Successful
449. Status of Cr2Ga2: Successful
450. Status of Fe2Zn2: Successful
451. Status of Cu2Zn2: Successful
452. Status of Ru2Rh2: Successful
453. Status of Cr2Hg2: Successful
454. Status of Nb2Hg2: Successful
455. Status of Pd2Tl2: Successful
456. Status of Ru2W2: Successful
457. Status of Al2Fe2: Successful
458. Status of Al2Cd2: Successful
459. Status of W2Au2: Successful
460. Status of Cd2Ir2: Successful
461. Status of Ta2Tl2: Successful
462. Status of Y2Pt2: Successful
463. Status of Zr2Mo2: Successful
464. Status of Ni2Mo2: Successful
465. Status of Ti2La2: Successful
466. Status of Zn2Tl2: Successful
467. Status of Co2Os2: Successful
468. Status of Hg2Pb2: Successful
469. Status of Ti2Sn2: Successful
470. Status of Zn2Sn2: Successful
471. Status of Tl2Pb2: Successful
472. Status of Zn2Au2: Successful
473. Status of Ga2Pt2: Successful
474. Status of Zn2Rh2: Successful
475. Status of Zr2Tc2: Successful
476. Status of Hf2Tl2: Successful
477. Status of Ti2Zr2: Successful
478. Status of Mn2Pb2: Successful
479. Status of Sc2Nb2: Successful
480. Status of Cr2Os2: Successful
481. Status of Cd2W2: Successful
482. Status of Sn2Pt2: Successful
483. Status of Tc2Rh2: Successful
484. Status of Cr2Y2: Successful
485. Status of Cd2Tl2: Successful
486. Status of Zr2Pd2: Successful
487. Status of Co2Hf2: Successful
488. Status of Y2W2: Successful
489. Status of Fe2Hg2: Successful
490. Status of Hf2W2: Successful
491. Status of Ti2Hf2: Successful
492. Status of Cd2Os2: Successful
493. Status of Ag2Os2: Successful
494. Status of Sc2Ru2: Successful
495. Status of V2Zr2: Successful
496. Status of Nb2Pt2: Successful
497. Status of V2Mo2: Successful
498. Status of In2Sn2: Successful
499. Status of Fe2Sn2: Successful
500. Status of V2Hg2: Successful
501. Status of Sc2Cr2: Successful
502. Status of Nb2Y2: Successful
503. Status of Fe2Os2: Successful
504. Status of La2Tl2: Successful
505. Status of Ti2Cu2: Successful
506. Status of Hf2Au2: Successful
507. Status of Cr2Pd2: Successful
508. Status of Fe2Cd2: Successful
509. Status of Cu2Sn2: Successful
510. Status of Ti2Zn2: Successful
511. Status of Co2Ga2: Successful
512. Status of Ga2Pd2: Successful
513. Status of Cr2Sn2: Successful
514. Status of Ru2Pt2: Successful
515. Status of Cr2Ag2: Successful
516. Status of In2Hf2: Successful
517. Status of Tc2Re2: Successful
518. Status of Ti2Hg2: Successful
519. Status of Cd2Re2: Successful
520. Status of Al2Ti2: Successful
521. Status of La2Re2: Successful
522. Status of Ga2Sn2: Successful
523. Status of Cu2Pt2: Successful
524. Status of Zn2Mo2: Successful
525. Status of Mn2Rh2: Successful
526. Status of Tc2Y2: Successful
527. Status of In2Ir2: Successful
528. Status of Co2Cr2: Successful
529. Status of Mn2Zr2: Successful
530. Status of Hg2Tl2: Successful
531. Status of Os2Tl2: Successful
532. Status of La2Ru2: Successful
533. Status of Zn2Hf2: Successful
534. Status of Fe2Ni2: Successful
535. Status of Co2La2: Successful
536. Status of Sc2Pd2: Successful
537. Status of Ti2Ag2: Successful
538. Status of V2Ru2: Successful
539. Status of Nb2Os2: Successful
540. Status of Ag2In2: Successful
541. Status of Ti2In2: Successful
542. Status of Ir2Hg2: Successful
543. Status of Rh2Y2: Successful
544. Status of Tc2Ru2: Successful
545. Status of Re2Pt2: Successful
546. Status of V2In2: Successful
547. Status of Co2Cd2: Successful
548. Status of Sc2W2: Successful
549. Status of Ga2Tc2: Successful
550. Status of Pd2Ir2: Successful
551. Status of La2Os2: Successful
552. Status of Au2Pb2: Successful
553. Status of Co2Cu2: Successful
554. Status of Cu2Au2: Successful
555. Status of Pd2In2: Successful
556. Status of La2Sn2: Successful
557. Status of Y2Re2: Successful
558. Status of Zn2In2: Successful
559. Status of Mn2Tl2: Successful
560. Status of Ru2Re2: Successful
561. Status of Tc2Tl2: Successful
562. Status of Fe2Zr2: Successful
563. Status of Sc2Rh2: Successful
564. Status of Ru2Y2: Successful
565. Status of Ni2Ag2: Successful
566. Status of Zr2In2: Successful
567. Status of La2Cd2: Successful
568. Status of W2Pt2: Successful
569. Status of Ti2Ta2: Successful
570. Status of Sc2In2: Successful
571. Status of Nb2Tl2: Successful
572. Status of Cr2Pb2: Successful
573. Status of Cr2Ir2: Successful
574. Status of Hf2Pb2: Successful
575. Status of Tc2Os2: Successful
576. Status of La2Mo2: Successful
577. Status of Al2Tc2: Successful
578. Status of Sc2Ni2: Successful
579. Status of La2Rh2: Successful
580. Status of Zn2Pb2: Successful
581. Status of Zn2Tc2: Successful
582. Status of Pd2Hg2: Successful
583. Status of Zr2Au2: Successful
584. Status of Al2Cu2: Successful
585. Status of Ta2Ir2: Successful
586. Status of Re2Tl2: Successful
587. Status of Ag2Ir2: Successful
588. Status of Mn2Y2: Successful
589. Status of Co2Pt2: Successful
590. Status of Mo2Tl2: Successful
591. Status of V2Pt2: Successful
592. Status of Al2Cr2: Successful
593. Status of Fe2Pd2: Successful
594. Status of Rh2In2: Successful
595. Status of Zr2Tl2: Successful
596. Status of Sn2Re2: Successful
597. Status of Ti2Pd2: Successful
598. Status of Al2Ru2: Successful
599. Status of Sc2La2: Successful
600. Status of Zr2Pt2: Successful
601. Status of V2Zn2: Successful
602. Status of Co2W2: Successful
603. Status of Co2Rh2: Successful
604. Status of Fe2Ag2: Successful
605. Status of Pd2Pb2: Successful
606. Status of Mn2Ag2: Successful
607. Status of Zn2Y2: Successful
608. Status of Ni2La2: Successful
609. Status of Nb2Pb2: Successful
610. Status of Fe2Y2: Successful
611. Status of Ru2Tl2: Successful
612. Status of Co2Pb2: Successful
613. Status of W2Pb2: Successful
614. Status of Ni2Y2: Successful
615. Status of Ni2Tl2: Successful
616. Status of Mn2Ga2: Successful
617. Status of Nb2Re2: Successful
618. Status of Cu2Pd2: Successful
